First_Day,First_Day_Date,New York_Optimal_Second_Day,New York_Optimal_Second_Date,New York_Optimal_Value,New York_Day183_Second_Day,New York_Day183_Second_Date,New York_Day183_Value,New York 2024_Optimal_Second_Day,New York 2024_Optimal_Second_Date,New York 2024_Optimal_Value,New York 2024_Day183_Second_Day,New York 2024_Day183_Second_Date,New York 2024_Day183_Value,"Stockholm, Sweden_Optimal_Second_Day","Stockholm, Sweden_Optimal_Second_Date","Stockholm, Sweden_Optimal_Value","Stockholm, Sweden_Day183_Second_Day","Stockholm, Sweden_Day183_Second_Date","Stockholm, Sweden_Day183_Value","Guangzhou, China_Optimal_Second_Day","Guangzhou, China_Optimal_Second_Date","Guangzhou, China_Optimal_Value","Guangzhou, China_Day183_Second_Day","Guangzhou, China_Day183_Second_Date","Guangzhou, China_Day183_Value","Edinburgh, UK_Optimal_Second_Day","Edinburgh, UK_Optimal_Second_Date","Edinburgh, UK_Optimal_Value","Edinburgh, UK_Day183_Second_Day","Edinburgh, UK_Day183_Second_Date","Edinburgh, UK_Day183_Value","Beersheba, Israel_Optimal_Second_Day","Beersheba, Israel_Optimal_Second_Date","Beersheba, Israel_Optimal_Value","Beersheba, Israel_Day183_Second_Day","Beersheba, Israel_Day183_Second_Date","Beersheba, Israel_Day183_Value",Nepal_Optimal_Second_Day,Nepal_Optimal_Second_Date,Nepal_Optimal_Value,Nepal_Day183_Second_Day,Nepal_Day183_Second_Date,Nepal_Day183_Value,"Amsterdam, Netherlands_Optimal_Second_Day","Amsterdam, Netherlands_Optimal_Second_Date","Amsterdam, Netherlands_Optimal_Value","Amsterdam, Netherlands_Day183_Second_Day","Amsterdam, Netherlands_Day183_Second_Date","Amsterdam, Netherlands_Day183_Value","Trondelag, Norway_Optimal_Second_Day","Trondelag, Norway_Optimal_Second_Date","Trondelag, Norway_Optimal_Value","Trondelag, Norway_Day183_Second_Day","Trondelag, Norway_Day183_Second_Date","Trondelag, Norway_Day183_Value",South Korea_Optimal_Second_Day,South Korea_Optimal_Second_Date,South Korea_Optimal_Value,South Korea_Day183_Second_Day,South Korea_Day183_Second_Date,South Korea_Day183_Value,"Gothenburg, Sweden_Optimal_Second_Day","Gothenburg, Sweden_Optimal_Second_Date","Gothenburg, Sweden_Optimal_Value","Gothenburg, Sweden_Day183_Second_Day","Gothenburg, Sweden_Day183_Second_Date","Gothenburg, Sweden_Day183_Value","Yamagata, Japan_Optimal_Second_Day","Yamagata, Japan_Optimal_Second_Date","Yamagata, Japan_Optimal_Value","Yamagata, Japan_Day183_Second_Day","Yamagata, Japan_Day183_Second_Date","Yamagata, Japan_Day183_Value"
1,01/01,230.0,08/17,0.9982131035415026,184,07/02,0.9975586489666672,176.0,06/24,0.9971570237969429,184,07/02,0.997116867620933,254.0,09/10,0.9983177550343704,184,07/02,0.9975769448947629,240.0,08/27,0.998187611736085,184,07/02,0.9974814179051354,242.0,08/29,0.9986872828881403,184,07/02,0.9976850690240016,205.0,07/23,0.9976803873737407,184,07/02,0.9973314994528343,208.0,07/26,0.9981100105507276,184,07/02,0.9979078854084142,190.0,07/08,0.9975245342400394,184,07/02,0.9975131887578259,240.0,08/27,0.998187611736085,184,07/02,0.9974814179051354,255.0,09/11,0.9982565476189422,184,07/02,0.9968307700304411,221.0,08/08,0.9979241261042301,184,07/02,0.9976624261205383,185.0,07/03,0.9983443238558246,184,07/02,0.998344067667767
2,01/02,231.0,08/18,0.9982117677974324,185,07/03,0.9975505460787033,177.0,06/25,0.9971589361304412,185,07/03,0.9971139356976012,255.0,09/11,0.9983347700580032,185,07/03,0.9975752010604806,241.0,08/28,0.9981991011559087,185,07/03,0.9974831958247005,242.0,08/29,0.9986992916520173,185,07/03,0.9977012451531295,205.0,07/23,0.9977000101559503,185,07/03,0.9973675345829413,209.0,07/27,0.998109160938802,185,07/03,0.9979047069571909,191.0,07/09,0.9975296066392334,185,07/03,0.9975174687710537,241.0,08/28,0.9981991011559087,185,07/03,0.9974831958247005,256.0,09/12,0.9982691563263324,185,07/03,0.9968474620002129,223.0,08/10,0.9979267739607033,185,07/03,0.9976502771240096,187.0,07/05,0.9983233596678777,185,07/03,0.9983223599496435
3,01/03,232.0,08/19,0.9982104818663526,186,07/04,0.9975425953147762,178.0,06/26,0.997160420226848,186,07/04,0.9971110995904501,257.0,09/13,0.9983515876175557,186,07/04,0.9975734918784196,241.0,08/28,0.9982099561562868,186,07/04,0.9974849647504094,242.0,08/29,0.9987106519080697,186,07/04,0.9977171568274981,205.0,07/23,0.9977191125550385,186,07/04,0.9974030991730912,210.0,07/28,0.9981076960693154,186,07/04,0.997901520950034,192.0,07/10,0.9975346174078402,186,07/04,0.9975216960208985,241.0,08/28,0.9982099561562868,186,07/04,0.9974849647504094,256.0,09/12,0.9982815845142686,186,07/04,0.9968640273253653,224.0,08/11,0.997929559874621,186,07/04,0.9976382911964433,189.0,07/07,0.9983030742487508,186,07/04,0.9983008687912874
4,01/04,234.0,08/21,0.998209347088036,187,07/05,0.9975347992257222,178.0,06/26,0.9971620452323833,187,07/05,0.9971083582452029,258.0,09/14,0.9983682266681131,187,07/05,0.9975718172912241,241.0,08/28,0.9982201151321215,187,07/05,0.9974867247279917,242.0,08/29,0.9987213682360953,187,07/05,0.9977328078927638,205.0,07/23,0.9977376925951732,187,07/05,0.9974381955551411,210.0,07/28,0.9981058361361989,187,07/05,0.9978983348278389,194.0,07/12,0.9975395707897837,187,07/05,0.9975258710762004,241.0,08/28,0.9982201151321215,187,07/05,0.9974867247279917,257.0,09/13,0.9982938133045028,187,07/05,0.9968804612275787,226.0,08/13,0.9979325474108713,187,07/05,0.997626472377087,191.0,07/09,0.9982834490703502,187,07/05,0.9982796019279155
5,01/05,235.0,08/22,0.9982082835226418,188,07/06,0.9975271571456816,179.0,06/27,0.997163274558185,188,07/06,0.9971057108151855,259.0,09/15,0.9983846220094225,188,07/06,0.9975701774815844,242.0,08/29,0.9982299170898343,188,07/06,0.997488477332064,242.0,08/29,0.9987314449873254,188,07/06,0.9977482029813909,205.0,07/23,0.9977557487182388,188,07/06,0.997472826477882,211.0,07/29,0.9981034728115667,188,07/06,0.9978951516229487,195.0,07/13,0.9975445643393132,188,07/06,0.9975299945140916,242.0,08/29,0.9982299170898343,188,07/06,0.997488477332064,258.0,09/14,0.9983058048881664,188,07/06,0.9968967652195497,228.0,08/15,0.9979356217523835,188,07/06,0.9976148216442046,193.0,07/11,0.9982646275717775,188,07/06,0.9982585595828535
6,01/06,236.0,08/23,0.9982072671355753,189,07/07,0.9975196683175189,179.0,06/27,0.9971645481885797,189,07/07,0.9971031564654048,260.0,09/16,0.998400567213311,189,07/07,0.997568572475447,242.0,08/29,0.9982391190995894,189,07/07,0.9974902239200855,243.0,08/30,0.998740892615819,189,07/07,0.9977633465113931,205.0,07/23,0.9977732793888588,189,07/07,0.9975069946912993,211.0,07/29,0.9981004569808244,189,07/07,0.9978919742098838,196.0,07/14,0.9975494966806815,189,07/07,0.9975340668491703,242.0,08/29,0.9982391190995894,189,07/07,0.9974902239200855,259.0,09/15,0.9983175625993282,189,07/07,0.9969129405865774,229.0,08/16,0.9979388187134096,189,07/07,0.9976033397895551,195.0,07/13,0.9982464483376642,189,07/07,0.9982377418581931
7,01/07,237.0,08/24,0.998206297165604,190,07/08,0.9975123319270026,180.0,06/28,0.9971655191027691,190,07/08,0.9971006942663673,261.0,09/17,0.9984160650600861,190,07/08,0.9975670023927764,242.0,08/29,0.998247633652786,190,07/08,0.9974919658250322,243.0,08/30,0.9987499360520109,190,07/08,0.9977782428240125,205.0,07/23,0.997790283310501,190,07/08,0.997540702963726,211.0,07/29,0.9980965803915001,190,07/08,0.9978888052894395,197.0,07/15,0.9975543683409267,190,07/08,0.9975380886208997,242.0,08/29,0.998247633652786,190,07/08,0.9974919658250322,259.0,09/15,0.9983290880354279,190,07/08,0.9969289886266396,231.0,08/18,0.99794216759511,190,07/08,0.9975920275478053,197.0,07/15,0.9982288417127857,190,07/08,0.9982171488038716
8,01/08,239.0,08/26,0.9982054264413549,191,07/09,0.9975051471044937,180.0,06/28,0.9971664359448328,191,07/09,0.997098323298762,261.0,09/17,0.9984311418089905,191,07/09,0.9975654672823575,243.0,08/30,0.9982557901828093,191,07/09,0.9974937042793995,243.0,08/30,0.9987583547810119,191,07/09,0.9977928961379002,205.0,07/23,0.9978067593133187,191,07/09,0.9975739541825757,211.0,07/29,0.9980918449511017,191,07/09,0.997885647408908,198.0,07/16,0.9975591798728641,191,07/09,0.9975420603537117,243.0,08/30,0.9982557901828093,191,07/09,0.9974937042793995,259.0,09/15,0.9983401104248426,191,07/09,0.9969449105930331,233.0,08/20,0.9979458898361048,191,07/09,0.9975808854674599,220.0,08/07,0.9982132528994592,191,07/09,0.9981967803500617
9,01/09,240.0,08/27,0.9982046535963558,192,07/10,0.9974981129734705,181.0,06/29,0.99716715061269,192,07/10,0.997096042663723,262.0,09/18,0.9984458571315553,192,07/10,0.9975639670883797,244.0,08/31,0.9982635680980848,192,07/10,0.9974954403963889,243.0,08/30,0.9987661523796421,192,07/10,0.997807310540641,206.0,07/24,0.9978227182210317,192,07/10,0.9976067512532993,211.0,07/29,0.9980862522310533,192,07/10,0.9978825030057147,199.0,07/17,0.9975639317915601,192,07/10,0.9975459825391924,244.0,08/31,0.9982635680980848,192,07/10,0.9974954403963889,259.0,09/15,0.9983506304760499,192,07/10,0.9969607075786086,236.0,08/23,0.9979500835069919,192,07/10,0.9975699138986718,221.0,08/08,0.9982124144541387,192,07/10,0.9981766363829423
10,01/10,241.0,08/28,0.998203922202019,193,07/11,0.99749122858565,181.0,06/29,0.9971677046451254,193,07/11,0.9970938513633023,263.0,09/19,0.9984601310429748,193,07/11,0.9975625018469522,245.0,09/01,0.9982711989460491,193,07/11,0.9974971752507408,245.0,09/01,0.9987737125191699,193,07/11,0.997821490049078,206.0,07/24,0.9978383718623899,193,07/11,0.9976390969693384,211.0,07/29,0.9980798035398967,193,07/11,0.9978793743844722,201.0,07/19,0.9975686965846352,193,07/11,0.9975498556792969,245.0,09/01,0.9982711989460491,193,07/11,0.9974971752507408,260.0,09/16,0.9983608064651202,193,07/11,0.9969763806604293,238.0,08/25,0.9979547715117172,193,07/11,0.997559113195354,223.0,08/10,0.9982117275939837,193,07/11,0.9981567166961275
